Country,Region,EPI,Population_2022,GDP_PC,GHS_Index,Life_Expectancy,Air,Water,Ecosystem,Climate,Env_Health,BHI,Biocapacity_PC,FC_PC
Czech Republic,Eastern Europe,59.9,10493986,26905.01492,52.8,78.129,53.3,76.5,64.5,52.8,63.5,56.8,2.36,0.000573027
Denmark,Global West,77.9,5882261,67508.79355,64.4,81.882,80.5,97.5,61.3,92.4,85.5,72.6,4.22,0.000896481
Djibouti,Sub-Saharan Africa,26.8,1120849,3007.632717,25.2,62.859,19.6,18.3,36.2,73.7,21.6,37.6,0.72,0.005353085
Dominica,Latin America & Caribbean,51.2,72172,7559.975039,26.4,72.981,44,47.6,37.6,68.8,46.2,48.9,1.02,0.013855789
Dominican Republic,Latin America & Caribbean,42.2,11228821,8392.996374,34.5,74.17,33.5,39,51.8,36.5,33,60.6,0.6,0.010152446
Ecuador,Latin America & Caribbean,46.5,18001000,5897.776012,50.8,77.894,44.1,50.3,49.2,43.2,46.9,49.6,1.95,0.015221377
Egypt,Greater Middle East,35.5,110990103,3641.250482,28,70.159,34.6,36.7,43.7,28.5,31.5,63.5,0.4,0.007225869
El Salvador,Latin America & Caribbean,40.8,6336392,4535.221306,40.8,71.475,36.7,41.7,33,50.2,39.3,36.8,0.57,0.005717765
Equatorial Guinea,Sub-Saharan Africa,24.6,1674908,7325.412971,17.4,61.19,22.9,33.2,44.1,53.6,29.5,61,2.52,0.003104648
Eritrea,Sub-Saharan Africa,31.7,3684032,560.5276029,21.4,66.604,19.3,6.4,30.6,40.4,17.5,34.6,1.58,0.00397719
Estonia,Eastern Europe,61.4,1326062,27346.32646,55.5,79.155,74.6,61.9,65,52,71.8,49,9.74,0.000732495
Ethiopia,Sub-Saharan Africa,31.8,123379924,901.8575204,37.8,65.645,33.7,11,45.6,19.9,25.3,39.6,0.57,0.000526828
Fiji,Asia-Pacific,31.3,929766,4939.004771,25.8,68.312,30.3,34.7,21,40,36.3,26.8,2.16,0.017208631
Finland,Global West,76.5,5540745,53991.87972,70.9,82.351,93.5,100,62,83.6,93.4,60.8,12.45,0.001207419
France,Global West,62.5,64626628,45452.97889,61.9,83.229,82,96.3,64,49.5,83.9,68.4,2.53,0.000856716
Gabon,Sub-Saharan Africa,42.4,2388992,7647.304986,21.8,66.69,25.7,27.7,53.3,56.3,29.4,65.9,21.45,0.009208905
Gambia,Sub-Saharan Africa,28.6,2705992,767.9515252,28.7,56.203,20.7,19.2,34.6,46.5,21.3,28.7,0.69,0.004330381
Georgia,Former Soviet States,39.1,3744385,4994.209034,52.6,71.587,27.9,51.7,35.7,43.6,37.5,38.7,1.27,0.006142531
Germany,Global West,62.4,83369843,50655.20162,65.5,80.989,75.2,99.1,66.8,47.2,82,48.6,1.54,0.000963578
